handSide,targetGrip,targetTrigger,joint,positionX,positionY,positionZ,rotationX,rotationY,rotationZ,rotationW,radius
LEFT,0.00,0.80,MIDDLE_METACARPAL_EXT,-0.04366245,-0.03423053,0.15057471,0.01637386,-0.04948954,-0.62672949,-0.77749264,0.02140000
LEFT,0.00,0.80,MIDDLE_PROXIMAL_EXT,-0.04766704,-0.04043949,0.07999614,0.39619288,0.29527119,-0.65530062,-0.57133973,0.01130000
LEFT,0.00,0.80,MIDDLE_INTERMEDIATE_EXT,-0.01073816,-0.04327339,0.05793783,-0.52911997,-0.47680703,0.54328197,0.44444928,0.00799000
LEFT,0.00,0.80,MIDDLE_DISTAL_EXT,0.02248638,-0.04168504,0.05842423,-0.61396819,-0.56026399,0.43514779,0.34611809,0.00795000
LEFT,0.00,0.80,MIDDLE_TIP_EXT,0.04000049,-0.04049647,0.06567359,-0.63595480,-0.53517711,0.44868559,0.32837892,0.00690000
LEFT,0.00,0.80,RING_METACARPAL_EXT,-0.04316936,-0.04803473,0.15201057,0.05426751,-0.08298316,-0.63732189,-0.76419389,0.01910000
LEFT,0.00,0.80,RING_PROXIMAL_EXT,-0.04696926,-0.06047183,0.08740264,-0.27804318,-0.03914519,0.69229436,0.66474825,0.01050000
LEFT,0.00,0.80,RING_INTERMEDIATE_EXT,-0.02923258,-0.07327491,0.05321655,-0.45593217,-0.23539071,0.65314156,0.55688876,0.00840000
LEFT,0.00,0.80,RING_DISTAL_EXT,-0.00461395,-0.07902437,0.03962824,-0.56705374,-0.35586512,0.58723187,0.45494089,0.00740000
LEFT,0.00,0.80,RING_TIP_EXT,0.01115343,-0.08058560,0.03797752,-0.56705374,-0.35586512,0.58723187,0.45494089,0.00650000
LEFT,0.00,0.80,LITTLE_METACARPAL_EXT,-0.04214154,-0.06067771,0.15446714,0.11130398,-0.13043493,-0.70966768,-0.68335527,0.01850000
LEFT,0.00,0.80,LITTLE_PROXIMAL_EXT,-0.04341856,-0.08190548,0.09522477,-0.26719522,0.09655581,0.75483608,0.59119344,0.00900000
LEFT,0.00,0.80,LITTLE_INTERMEDIATE_EXT,-0.03469631,-0.09582973,0.06993452,-0.40002102,-0.08232526,0.75592482,0.51165086,0.00750000
LEFT,0.00,0.80,LITTLE_DISTAL_EXT,-0.02216550,-0.10101068,0.05781475,-0.41316983,-0.01836247,0.73730803,0.53416610,0.00670000
LEFT,0.00,0.80,LITTLE_TIP_EXT,-0.01492206,-0.10578287,0.05023700,-0.41316983,-0.01836247,0.73730803,0.53416610,0.00650000
LEFT,0.00,1.00,PALM_EXT,-0.04565437,-0.03740513,0.11526281,0.01900547,-0.04816160,-0.62679821,-0.77746195,0.01190000
LEFT,0.00,1.00,WRIST_EXT,-0.04103778,-0.04022324,0.16783805,0.09968524,-0.16531274,0.63181961,0.75069678,0.01190000
LEFT,0.00,1.00,THUMB_METACARPAL_EXT,-0.01916137,-0.01798475,0.14867462,0.17904413,-0.29221147,0.00242330,0.93944269,0.01210000
LEFT,0.00,1.00,THUMB_PROXIMAL_EXT,0.00298768,-0.00433487,0.11775950,0.25301138,0.18751383,0.09775606,-0.94407147,0.01170000
LEFT,0.00,1.00,THUMB_DISTAL_EXT,0.01289179,-0.02106094,0.09169242,0.71919328,0.10760551,0.18494536,-0.66104531,0.01050000
LEFT,0.00,1.00,THUMB_TIP_EXT,0.01030971,-0.04172951,0.09289479,-0.71919328,-0.10760551,-0.18494536,0.66104531,0.00960000
LEFT,0.00,1.00,INDEX_METACARPAL_EXT,-0.04019679,-0.01970965,0.15296392,-0.04474974,-0.00197977,-0.76407874,-0.64356899,0.02100000
LEFT,0.00,1.00,INDEX_PROXIMAL_EXT,-0.04547225,-0.01565087,0.07888910,0.51230168,0.43165207,-0.55766916,-0.49013466,0.01060000
LEFT,0.00,1.00,INDEX_INTERMEDIATE_EXT,-0.00241902,-0.01654941,0.07445398,-0.69794464,-0.70890319,0.00339035,-0.10159604,0.00950000
LEFT,0.00,1.00,INDEX_DISTAL_EXT,-0.00635838,-0.01240319,0.10214722,-0.45527691,-0.53229940,-0.46861580,-0.53831518,0.00860000
LEFT,0.00,1.00,INDEX_TIP_EXT,-0.02147657,-0.01253510,0.10186344,-0.45527691,-0.53229940,-0.46861580,-0.53831518,0.00770000
LEFT,0.00,1.00,MIDDLE_METACARPAL_EXT,-0.04384260,-0.03421426,0.15055472,0.01900548,-0.04816155,-0.62679815,-0.77746189,0.02140000
LEFT,0.00,1.00,MIDDLE_PROXIMAL_EXT,-0.04746615,-0.04059595,0.07997090,0.41653612,0.31966773,-0.64170682,-0.55904001,0.01130000
LEFT,0.00,1.00,MIDDLE_INTERMEDIATE_EXT,-0.00901340,-0.04298651,0.06063145,-0.55154800,-0.50409997,0.51659775,0.41810071,0.00799000
LEFT,0.00,1.00,MIDDLE_DISTAL_EXT,0.02396598,-0.04100293,0.06451160,-0.63531780,-0.58959544,0.39374676,0.30612937,0.00795000
LEFT,0.00,1.00,MIDDLE_TIP_EXT,0.04032395,-0.03957236,0.07405519,-0.65846443,-0.56362861,0.40571335,0.29008356,0.00690000
LEFT,0.00,1.00,RING_METACARPAL_EXT,-0.04324818,-0.04802781,0.15200187,0.05518115,-0.08206153,-0.63719881,-0.76433140,0.01910000
LEFT,0.00,1.00,RING_PROXIMAL_EXT,-0.04688086,-0.06047922,0.08738706,-0.28727826,-0.05035414,0.69063973,0.66178274,0.01050000
LEFT,0.00,1.00,RING_INTERMEDIATE_EXT,-0.02807485,-0.07308584,0.05371276,-0.47344965,-0.25693259,0.64394587,0.54329479,0.00840000
LEFT,0.00,1.00,RING_DISTAL_EXT,-0.00256421,-0.07835323,0.04166913,-0.58590257,-0.38137382,0.56963283,0.43219790,0.00740000
LEFT,0.00,1.00,RING_TIP_EXT,0.01332064,-0.07949972,0.04130992,-0.58590257,-0.38137382,0.56963283,0.43219790,0.00650000
LEFT,0.00,1.00,LITTLE_METACARPAL_EXT,-0.04218734,-0.06067377,0.15446210,0.11215532,-0.12970351,-0.70961016,-0.68341422,0.01850000
LEFT,0.00,1.00,LITTLE_PROXIMAL_EXT,-0.04332717,-0.08190942,0.09521976,-0.27148503,0.08994961,0.75419271,0.59110153,0.00900000
LEFT,0.00,1.00,LITTLE_INTERMEDIATE_EXT,-0.03418539,-0.09567881,0.06999826,-0.40859440,-0.09492253,0.75297552,0.50702047,0.00750000
LEFT,0.00,1.00,LITTLE_DISTAL_EXT,-0.02124421,-0.10061431,0.05821186,-0.42176720,-0.03126699,0.73454416,0.53064191,0.00670000
LEFT,0.00,1.00,LITTLE_TIP_EXT,-0.01372535,-0.10524088,0.05081424,-0.42176720,-0.03126699,0.73454416,0.53064191,0.00650000
LEFT,0.20,0.00,PALM_EXT,-0.04572063,-0.03687716,0.11546397,-0.00078824,-0.05810735,-0.62615430,-0.77753311,0.01190000
LEFT,0.20,0.00,WRIST_EXT,-0.04103769,-0.04022294,0.16783802,0.09098570,-0.15497218,0.63313121,0.75289917,0.01190000
LEFT,0.20,0.00,THUMB_METACARPAL_EXT,-0.01997166,-0.01703423,0.14926428,0.19061469,-0.34563780,0.10474145,0.91281617,0.01210000
LEFT,0.20,0.00,THUMB_PROXIMAL_EXT,0.00391131,-0.00004774,0.12144865,-0.15315591,0.28982225,-0.12705520,-0.93616611,0.01170000
LEFT,0.20,0.00,THUMB_DISTAL_EXT,0.02029077,0.01167142,0.09591988,-0.00990675,0.27004021,0.09531390,-0.95807016,0.01050000
LEFT,0.20,0.00,THUMB_TIP_EXT,0.03112585,0.01099342,0.07810289,-0.00990675,0.27004021,0.09531390,-0.95807016,0.00960000
LEFT,0.20,0.00,INDEX_METACARPAL_EXT,-0.03601938,-0.01528960,0.15050614,-0.09039785,-0.03354777,-0.75834322,-0.64468682,0.02100000
LEFT,0.20,0.00,INDEX_PROXIMAL_EXT,-0.04943333,-0.01040518,0.07751581,-0.02646595,-0.02999881,0.73202723,0.68010193,0.01060000
LEFT,0.20,0.00,INDEX_INTERMEDIATE_EXT,-0.04593860,-0.01005721,0.03372630,-0.00216064,-0.01076555,0.70067024,0.71340251,0.00950000
LEFT,0.20,0.00,INDEX_DISTAL_EXT,-0.04541093,-0.00971282,0.00503772,-0.01279927,0.01067411,0.69908947,0.71484089,0.00860000
LEFT,0.20,0.00,INDEX_TIP_EXT,-0.04537109,-0.01021522,-0.01007530,-0.01279927,0.01067411,0.69908947,0.71484089,0.00770000
LEFT,0.20,0.00,MIDDLE_METACARPAL_EXT,-0.04247945,-0.03433865,0.15070646,-0.00078818,-0.05810733,-0.62615430,-0.77753311,0.02140000
LEFT,0.20,0.00,MIDDLE_PROXIMAL_EXT,-0.04896182,-0.03941566,0.08022147,0.24944264,0.12645631,-0.72374672,-0.63085860,0.01130000
LEFT,0.20,0.00,MIDDLE_INTERMEDIATE_EXT,-0.02651881,-0.04509228,0.04385620,-0.45310506,-0.38701802,0.62404823,0.50545120,0.00799000
LEFT,0.20,0.00,MIDDLE_DISTAL_EXT,0.00530853,-0.04426098,0.03421471,-0.58741432,-0.53790879,0.48321980,0.36345810,0.00795000
LEFT,0.20,0.00,MIDDLE_TIP_EXT,0.02351672,-0.04249746,0.03931978,-0.60852528,-0.51390535,0.49741474,0.34377596,0.00690000
LEFT,0.20,0.00,RING_METACARPAL_EXT,-0.04339372,-0.04801416,0.15198559,0.05690574,-0.08030343,-0.63686532,-0.76466936,0.01910000
LEFT,0.20,0.00,RING_PROXIMAL_EXT,-0.04671053,-0.06049067,0.08735862,-0.30421999,-0.07074211,0.68691248,0.65620100,0.01050000
LEFT,0.20,0.00,RING_INTERMEDIATE_EXT,-0.02599159,-0.07274354,0.05470988,-0.50459117,-0.29533732,0.62509221,0.51713157,0.00840000
LEFT,0.20,0.00,RING_DISTAL_EXT,0.00083528,-0.07711744,0.04564631,-0.66195023,-0.49197674,0.47533560,0.30633092,0.00740000
LEFT,0.20,0.00,RING_TIP_EXT,0.01566172,-0.07612729,0.05138811,-0.66195023,-0.49197674,0.47533560,0.30633092,0.00650000
LEFT,0.20,0.00,LITTLE_METACARPAL_EXT,-0.04282434,-0.06061518,0.15439110,0.12410732,-0.11933916,-0.70879859,-0.68407869,0.01850000
LEFT,0.20,0.00,LITTLE_PROXIMAL_EXT,-0.04202747,-0.08195138,0.09517929,-0.32963246,-0.00307806,0.74081987,0.58525419,0.00900000
LEFT,0.20,0.00,LITTLE_INTERMEDIATE_EXT,-0.02722168,-0.09342521,0.07162637,-0.51962602,-0.26461348,0.69063932,0.42777240,0.00750000
LEFT,0.20,0.00,LITTLE_DISTAL_EXT,-0.01012298,-0.09485698,0.06583211,-0.63623571,-0.42865244,0.57585490,0.28258774,0.00670000
LEFT,0.20,0.00,LITTLE_TIP_EXT,0.00110724,-0.09331244,0.06787163,-0.63623571,-0.42865244,0.57585490,0.28258774,0.00650000
LEFT,0.20,0.20,PALM_EXT,-0.04565994,-0.03734630,0.11528188,0.01679598,-0.04926791,-0.62674183,-0.77748889,0.01190000
LEFT,0.20,0.20,WRIST_EXT,-0.04103754,-0.04022324,0.16783798,0.09858188,-0.16400357,0.63199294,0.75098366,0.01190000
LEFT,0.20,0.20,THUMB_METACARPAL_EXT,-0.01954274,-0.01753736,0.14895231,0.18481967,-0.31793562,0.05070076,0.92854238,0.01210000
LEFT,0.20,0.20,THUMB_PROXIMAL_EXT,0.00355698,-0.00236636,0.11947536,0.06091579,0.25101599,-0.00023069,-0.96606570,0.01170000
LEFT,0.20,0.20,THUMB_DISTAL_EXT,0.01932835,-0.00618976,0.09129754,0.40667582,0.23234013,0.17795686,-0.86542898,0.01050000
LEFT,0.20,0.20,THUMB_TIP_EXT,0.02469884,-0.02260107,0.07958728,-0.40667582,-0.23234013,-0.17795686,0.86542898,0.00960000
LEFT,0.20,0.20,INDEX_METACARPAL_EXT,-0.03902078,-0.01846564,0.15227209,-0.05761795,-0.01086947,-0.76270479,-0.64408636,0.02100000
LEFT,0.20,0.20,INDEX_PROXIMAL_EXT,-0.04659881,-0.01417875,0.07841018,0.39136282,0.33162242,-0.63910449,-0.57307088,0.01060000
LEFT,0.20,0.20,INDEX_INTERMEDIATE_EXT,-0.00833060,-0.01525134,0.05781713,-0.64853168,-0.65785116,0.30354568,0.23345317,0.00950000
LEFT,0.20,0.20,INDEX_DISTAL_EXT,0.01157082,-0.01250917,0.07788458,-0.68117493,-0.72000140,-0.06794202,-0.11394954,0.00860000
LEFT,0.20,0.20,INDEX_TIP_EXT,0.00768995,-0.01164114,0.09247372,-0.68117493,-0.72000140,-0.06794202,-0.11394954,0.00770000
LEFT,0.20,0.20,MIDDLE_METACARPAL_EXT,-0.04368868,-0.03422832,0.15057173,0.01679598,-0.04926791,-0.62674183,-0.77748889,0.02140000
LEFT,0.20,0.20,MIDDLE_PROXIMAL_EXT,-0.04763120,-0.04046428,0.07999203,0.39915133,0.29866454,-0.65341437,-0.56967700,0.01130000
LEFT,0.20,0.20,MIDDLE_INTERMEDIATE_EXT,-0.01047584,-0.04324359,0.05831024,-0.60618949,-0.56764913,0.44646150,0.33314422,0.00799000
LEFT,0.20,0.20,MIDDLE_DISTAL_EXT,0.02011210,-0.03981823,0.07093057,-0.69344223,-0.69086587,0.18716367,0.08255826,0.00795000
